date,code,loan_qty,loan_value,updated_at
2026-02-09,042000,1484119092.0,32353138.0,2026-02-10T03:53:59.410218
2026-02-09,042660,1601102534.0,108885771.0,2026-02-10T03:54:00.710111
2026-02-09,042700,1601102534.0,108885771.0,2026-02-10T06:10:45.855076
2026-02-09,043260,1484119092.0,32353138.0,2026-02-10T03:54:03.046471
2026-02-09,047050,1601102534.0,108885771.0,2026-02-10T06:10:47.785969
2026-02-09,047810,1601102534.0,108885771.0,2026-02-10T06:10:48.888143
2026-02-09,048410,1484119092.0,32353138.0,2026-02-10T03:54:06.422142
2026-02-09,051910,1601102534.0,108885771.0,2026-02-10T06:10:51.150544
2026-02-09,056190,1484119092.0,32353138.0,2026-02-10T03:54:21.187387
2026-02-09,058470,1484119092.0,32353138.0,2026-02-10T06:10:57.462454
2026-02-09,058610,1484119092.0,32353138.0,2026-02-10T03:54:23.307136
2026-02-09,060250,1484119092.0,32353138.0,2026-02-10T03:54:24.806541
2026-02-09,060370,1484119092.0,32353138.0,2026-02-10T03:54:26.760780
2026-02-09,064350,1601102534.0,108885771.0,2026-02-10T06:11:04.968343
2026-02-09,064400,1601102534.0,108885771.0,2026-02-10T06:11:05.986419
2026-02-09,064760,1484119092.0,32353138.0,2026-02-10T03:54:32.316361
2026-02-09,065350,1484119092.0,32353138.0,2026-02-10T03:54:33.615978
2026-02-09,066570,1601102534.0,108885771.0,2026-02-10T06:11:09.421995
2026-02-09,067160,1484119092.0,32353138.0,2026-02-10T03:54:38.257875
2026-02-09,067310,1484119092.0,32353138.0,2026-02-10T03:54:39.529954
2026-02-09,068270,1601102534.0,108885771.0,2026-02-10T03:54:40.476379
2026-02-09,068760,1484119092.0,32353138.0,2026-02-10T03:54:41.688437
2026-02-09,071050,1601102534.0,108885771.0,2026-02-10T06:11:19.963436
2026-02-09,074600,1484119092.0,32353138.0,2026-02-10T03:54:43.923524
2026-02-09,078160,1484119092.0,32353138.0,2026-02-10T03:54:45.382127
2026-02-09,078600,1484119092.0,32353138.0,2026-02-10T06:11:22.807075
2026-02-09,078930,1601102534.0,108885771.0,2026-02-10T06:11:23.930876
2026-02-09,079550,1601102534.0,108885771.0,2026-02-10T06:11:25.025493
2026-02-09,080220,1484119092.0,32353138.0,2026-02-10T03:54:51.511902
2026-02-09,082270,1484119092.0,32353138.0,2026-02-10T03:54:52.651010
2026-02-09,082920,1484119092.0,32353138.0,2026-02-10T03:54:54.135419
2026-02-09,083650,1484119092.0,32353138.0,2026-02-10T03:54:55.910000
2026-02-09,084370,1484119092.0,32353138.0,2026-02-10T03:54:57.911415
2026-02-09,085660,1484119092.0,32353138.0,2026-02-10T03:55:00.025950
2026-02-09,086280,1601102534.0,108885771.0,2026-02-10T06:21:38.334578
2026-02-09,086450,1484119092.0,32353138.0,2026-02-10T03:55:03.108650
2026-02-09,086520,1484119092.0,32353138.0,2026-02-10T06:21:39.962544
2026-02-09,086790,1601102534.0,108885771.0,2026-02-10T03:55:05.709851
2026-02-09,086900,1484119092.0,32353138.0,2026-02-10T03:55:07.257606
2026-02-09,087010,1484119092.0,32353138.0,2026-02-10T06:21:42.187473
2026-02-09,089030,1484119092.0,32353138.0,2026-02-10T03:55:13.713956
2026-02-09,090430,1601102534.0,108885771.0,2026-02-10T06:21:43.647546
2026-02-09,090710,1484119092.0,32353138.0,2026-02-10T03:55:18.228098
2026-02-09,095340,1484119092.0,32353138.0,2026-02-10T03:55:19.310585
2026-02-09,095610,1484119092.0,32353138.0,2026-02-10T03:55:20.329942
2026-02-09,096530,1484119092.0,32353138.0,2026-02-10T03:55:24.409259
2026-02-09,096770,1601102534.0,108885771.0,2026-02-10T06:21:47.702704
2026-02-09,098460,1484119092.0,32353138.0,2026-02-10T03:55:31.115276
2026-02-09,099320,1484119092.0,32353138.0,2026-02-10T03:55:32.606426
2026-02-09,100790,1484119092.0,32353138.0,2026-02-10T03:55:33.612536
2026-02-09,101490,1484119092.0,32353138.0,2026-02-10T03:55:34.811917
2026-02-09,102710,1484119092.0,32353138.0,2026-02-10T03:55:35.950136
2026-02-09,102940,1484119092.0,32353138.0,2026-02-10T03:55:37.510841
2026-02-09,105560,1601102534.0,108885771.0,2026-02-10T03:55:39.838857
2026-02-09,108490,1484119092.0,32353138.0,2026-02-10T06:21:54.900743
2026-02-09,112040,1484119092.0,32353138.0,2026-02-10T03:55:42.188152
2026-02-09,115180,1484119092.0,32353138.0,2026-02-10T03:55:44.310692
2026-02-09,121600,1484119092.0,32353138.0,2026-02-10T03:55:45.511860
2026-02-09,122870,1484119092.0,32353138.0,2026-02-10T03:55:49.280888
2026-02-09,124500,1484119092.0,32353138.0,2026-02-10T03:55:50.514738
2026-02-09,126340,1484119092.0,32353138.0,2026-02-10T03:55:51.922469
2026-02-09,127120,1484119092.0,32353138.0,2026-02-10T03:55:53.235522
2026-02-09,128940,1601102534.0,108885771.0,2026-02-10T06:22:01.279438
2026-02-09,131290,1484119092.0,32353138.0,2026-02-10T03:55:55.585182
2026-02-09,131970,1484119092.0,32353138.0,2026-02-10T03:55:56.529886
2026-02-09,137400,1484119092.0,32353138.0,2026-02-10T03:55:57.499757
2026-02-09,138040,1601102534.0,108885771.0,2026-02-10T06:22:04.764923
2026-02-09,138930,1601102534.0,108885771.0,2026-02-10T06:22:05.657338
2026-02-09,140410,1484119092.0,32353138.0,2026-02-10T06:22:06.453133
2026-02-09,140860,1484119092.0,32353138.0,2026-02-10T03:56:06.809452
2026-02-09,141080,1484119092.0,32353138.0,2026-02-10T06:22:08.280885
2026-02-09,145020,1484119092.0,32353138.0,2026-02-10T03:56:08.907517
2026-02-09,160190,1484119092.0,32353138.0,2026-02-10T03:56:13.009583
2026-02-09,166090,1484119092.0,32353138.0,2026-02-10T03:56:21.310141
2026-02-09,171090,1484119092.0,32353138.0,2026-02-10T03:56:22.410349
2026-02-09,174900,1484119092.0,32353138.0,2026-02-10T03:56:23.611581
2026-02-09,178320,1484119092.0,32353138.0,2026-02-10T03:56:24.612521
2026-02-09,180640,1601102534.0,108885771.0,2026-02-10T06:22:18.264581
2026-02-09,183300,1484119092.0,32353138.0,2026-02-10T03:56:27.347315
2026-02-09,189300,1484119092.0,32353138.0,2026-02-10T03:56:28.440162
2026-02-09,195940,1484119092.0,32353138.0,2026-02-10T03:56:29.513209
2026-02-09,196170,1484119092.0,32353138.0,2026-02-10T06:22:21.377686
2026-02-09,204270,1484119092.0,32353138.0,2026-02-10T03:56:34.112893
