buy_kospi,buy_kosdaq,take_profit_ret,stop_loss,max_holding_days,rank_mode,total_ret,mdd,win_rate,trade_cnt,usable,mdd_abs,win_rate_norm,total_ret_norm,mdd_abs_norm,score
-0.05,-0.25,0.02,-0.12,8,amount,0.46994,-0.09237774922530417,0.7846153846153846,65,True,0.09237774922530417,1.0,0.6294543145125143,0.015055310149350071,0.8487706637751358
-0.05,-0.2,0.02,-0.12,8,amount,0.46303000000000005,-0.0927938757433886,0.7846153846153846,65,True,0.0927938757433886,1.0,0.6207297102446551,0.01916750449896762,0.8444583831980685
-0.05,-0.25,0.02,-0.12,8,score,0.39747,-0.09085425270289083,0.7777777777777778,63,True,0.09085425270289083,0.9759759759759761,0.5379532911707257,0.0,0.8055717068586807
-0.05,-0.2,0.02,-0.12,8,score,0.3906099999999999,-0.0912692863468979,0.7777777777777778,63,True,0.0912692863468979,0.9759759759759761,0.5292918171797684,0.004101394483686401,0.8012868383655606
-0.03,-0.2,0.0,-0.12,8,amount,0.763417,-0.13922539691425295,0.6712328767123288,73,True,0.13922539691425295,0.6016290262865607,1.0,0.47800737820352757,0.7450501348739188
-0.03,-0.2,0.0,-0.08,8,amount,0.6986920000000001,-0.12908223427607346,0.6794871794871795,78,True,0.12908223427607346,0.6306306306306307,0.9182778565503344,0.37777186262047324,0.7440090223482915
-0.03,-0.25,0.0,-0.08,8,amount,0.6986920000000001,-0.12908223427607346,0.6794871794871795,78,True,0.12908223427607346,0.6306306306306307,0.9182778565503344,0.37777186262047324,0.7440090223482915
-0.03,-0.25,0.0,-0.12,8,amount,0.7531220000000001,-0.137889810061136,0.6712328767123288,73,True,0.137889810061136,0.6016290262865607,0.9870014759858741,0.4648090059005714,0.7424903997288597
-0.03,-0.2,0.0,-0.12,8,score,0.72774,-0.13649764504260498,0.6666666666666666,72,True,0.13649764504260498,0.5855855855855855,0.9549540222193323,0.4510515238028384,0.7260055383613995
-0.03,-0.25,0.0,-0.12,8,score,0.69181,-0.12169077551803076,0.6527777777777778,72,True,0.12169077551803076,0.5367867867867868,0.9095886052375404,0.30472889703353206,0.7176043774030245
-0.03,-0.2,0.02,-0.12,8,amount,0.670261,-0.19069933647903448,0.7450980392156863,102,True,0.19069933647903448,0.861155272919979,0.8823807184983075,0.9866768194235778,0.700079032682599
-0.03,-0.25,0.02,-0.12,8,amount,0.657956,-0.19069933647903448,0.7450980392156863,102,True,0.19069933647903448,0.861155272919979,0.8668443573527201,0.9866768194235778,0.6938644882243641
-0.03,-0.2,0.02,-0.12,8,score,0.6125229999999999,-0.19057398673604398,0.7373737373737373,99,True,0.19057398673604398,0.834015834015834,0.8094803999429301,0.9854381035944968,0.6603108728646063
-0.03,-0.2,0.0,-0.08,8,score,0.5645899999999999,-0.11796346352702136,0.6493506493506493,77,True,0.11796346352702136,0.5247455247455247,0.7489599286880391,0.2678953124322717,0.6559031188869713
-0.03,-0.25,0.0,-0.08,8,score,0.5645899999999999,-0.11796346352702136,0.6493506493506493,77,True,0.11796346352702136,0.5247455247455247,0.7489599286880391,0.2678953124322717,0.6559031188869713
-0.03,-0.25,0.02,-0.12,8,score,0.593248,-0.19057398673604398,0.7373737373737373,99,True,0.19057398673604398,0.834015834015834,0.7851436781972013,0.9854381035944968,0.6505761841663148
-0.05,-0.25,0.02,-0.08,8,amount,0.358633,-0.12146114568153166,0.7205882352941176,68,True,0.12146114568153166,0.775039745627981,0.48891747988985024,0.302459677276757,0.6450909547517811
-0.05,-0.2,0.02,-0.08,8,amount,0.3526929999999999,-0.12537627052062594,0.7205882352941176,68,True,0.12537627052062594,0.775039745627981,0.48141760299389014,0.3411492429297309,0.6343530908628022
-0.03,-0.2,0.02,-0.08,8,amount,0.4878530000000001,-0.17620804765099574,0.7264957264957265,117,True,0.17620804765099574,0.7957957957957957,0.6520713675154323,0.8434727854397431,0.6104523082365426
-0.03,-0.25,0.02,-0.08,8,amount,0.4878530000000001,-0.17620804765099574,0.7264957264957265,117,True,0.17620804765099574,0.7957957957957957,0.6520713675154323,0.8434727854397431,0.6104523082365426
-0.03,-0.25,0.02,-0.12,5,amount,0.515728,-0.1324919071476368,0.6528925619834711,121,True,0.1324919071476368,0.5371900826446283,0.6872664968883085,0.41146651294228326,0.6074893292247181
-0.03,-0.2,0.02,-0.12,5,amount,0.515728,-0.1324919071476368,0.6528925619834711,121,True,0.1324919071476368,0.5371900826446283,0.6872664968883085,0.41146651294228326,0.6074893292247181
-0.03,-0.25,0.02,-0.08,5,amount,0.44243999999999994,-0.12281147754773236,0.648854961832061,131,True,0.12281147754773236,0.5230039199504848,0.5947326622164029,0.3158037609363628,0.5839338806794825
-0.03,-0.2,0.02,-0.08,5,amount,0.44243999999999994,-0.12281147754773236,0.648854961832061,131,True,0.12281147754773236,0.5230039199504848,0.5947326622164029,0.3158037609363628,0.5839338806794825
-0.05,-0.25,0.02,-0.08,8,score,0.27007500000000007,-0.12904261967690467,0.7164179104477612,67,True,0.12904261967690467,0.7603872529245662,0.37710365865206763,0.37738038809581625,0.5795202870114904
-0.05,-0.2,0.02,-0.08,8,score,0.2598149999999999,-0.13635363822678126,0.7164179104477612,67,True,0.13635363822678126,0.7603872529245662,0.3641493258317728,0.44962843734090674,0.5598889440343543
-0.03,-0.2,0.02,-0.08,8,score,0.37561,-0.17613599188694062,0.7155172413793104,116,True,0.17613599188694062,0.7572227399813608,0.5103527341091623,0.8427607248213312,0.538478044671943
