code,sector_name,industry_name,source
CTVA,Materials,Fertilizers & Agricultural Chemicals,WIKI_SP500
CSGP,Real Estate,Real Estate Services,WIKI_SP500
COST,Consumer Staples,Consumer Staples Merchandise Retail,WIKI_SP500
CTRA,Energy,Oil & Gas Exploration & Production,WIKI_SP500
CRH,Materials,Construction Materials,WIKI_SP500
CRWD,Information Technology,Systems Software,WIKI_SP500
CCI,Real Estate,Telecom Tower REITs,WIKI_SP500
CSX,Industrials,Rail Transportation,WIKI_SP500
CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,WIKI_SP500
CVS,Health Care,Health Care Services,WIKI_SP500
DHR,Health Care,Life Sciences Tools & Services,WIKI_SP500
DRI,Consumer Discretionary,Restaurants,WIKI_SP500
DDOG,Information Technology,Application Software,WIKI_SP500
DVA,Health Care,Health Care Services,WIKI_SP500
DECK,Consumer Discretionary,Footwear,WIKI_SP500
DE,Industrials,Agricultural & Farm Machinery,WIKI_SP500
DELL,Information Technology,"Technology Hardware, Storage & Peripherals",WIKI_SP500
DAL,Industrials,Passenger Airlines,WIKI_SP500
DVN,Energy,Oil & Gas Exploration & Production,WIKI_SP500
DXCM,Health Care,Health Care Equipment,WIKI_SP500
FANG,Energy,Oil & Gas Exploration & Production,WIKI_SP500
DLR,Real Estate,Data Center REITs,WIKI_SP500
DG,Consumer Staples,Consumer Staples Merchandise Retail,WIKI_SP500
DLTR,Consumer Staples,Consumer Staples Merchandise Retail,WIKI_SP500
D,Utilities,Multi-Utilities,WIKI_SP500
DPZ,Consumer Discretionary,Restaurants,WIKI_SP500
DASH,Consumer Discretionary,Specialized Consumer Services,WIKI_SP500
DOV,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
DOW,Materials,Commodity Chemicals,WIKI_SP500
DHI,Consumer Discretionary,Homebuilding,WIKI_SP500
DTE,Utilities,Multi-Utilities,WIKI_SP500
DUK,Utilities,Electric Utilities,WIKI_SP500
DD,Materials,Specialty Chemicals,WIKI_SP500
ETN,Industrials,Electrical Components & Equipment,WIKI_SP500
EBAY,Consumer Discretionary,Broadline Retail,WIKI_SP500
ECL,Materials,Specialty Chemicals,WIKI_SP500
EIX,Utilities,Electric Utilities,WIKI_SP500
