code,name,market,excd
EBAY,eBay Inc.,SP500,NYS
ECL,Ecolab,SP500,NYS
EIX,Edison International,SP500,NYS
EW,Edwards Lifesciences,SP500,NYS
EA,Electronic Arts,SP500,NYS
ELV,Elevance Health,SP500,NYS
EME,Emcor,SP500,NYS
EMR,Emerson Electric,SP500,NYS
ETR,Entergy,SP500,NYS
EOG,EOG Resources,SP500,NYS
EPAM,EPAM Systems,SP500,NYS
EQT,EQT Corporation,SP500,NYS
EFX,Equifax,SP500,NYS
EQIX,Equinix,SP500,NYS
EQR,Equity Residential,SP500,NYS
ERIE,Erie Indemnity,SP500,NYS
ESS,Essex Property Trust,SP500,NYS
EL,Estée Lauder Companies (The),SP500,NYS
EG,Everest Group,SP500,NYS
EVRG,Evergy,SP500,NYS
ES,Eversource Energy,SP500,NYS
EXC,Exelon,SP500,NYS
EXE,Expand Energy,SP500,NYS
EXPE,Expedia Group,SP500,NYS
EXPD,Expeditors International,SP500,NYS
EXR,Extra Space Storage,SP500,NYS
XOM,ExxonMobil,SP500,NYS
FFIV,"F5, Inc.",SP500,NYS
FDS,FactSet,SP500,NYS
FICO,Fair Isaac,SP500,NYS
FAST,Fastenal,SP500,NYS
FRT,Federal Realty Investment Trust,SP500,NYS
FDX,FedEx,SP500,NYS
FIS,Fidelity National Information Services,SP500,NYS
FITB,Fifth Third Bancorp,SP500,NYS
FSLR,First Solar,SP500,NYS
FE,FirstEnergy,SP500,NYS
FISV,Fiserv,SP500,NYS
F,Ford Motor Company,SP500,NYS
FTNT,Fortinet,SP500,NYS
FTV,Fortive,SP500,NYS
FOXA,Fox Corporation (Class A),SP500,NYS
FOX,Fox Corporation (Class B),SP500,NYS
BEN,Franklin Resources,SP500,NYS
FCX,Freeport-McMoRan,SP500,NYS
GRMN,Garmin,SP500,NYS
IT,Gartner,SP500,NYS
GE,GE Aerospace,SP500,NYS
GEHC,GE HealthCare,SP500,NYS
GEV,GE Vernova,SP500,NYS
GEN,Gen Digital,SP500,NYS
GNRC,Generac,SP500,NYS
GD,General Dynamics,SP500,NYS
GIS,General Mills,SP500,NYS
GM,General Motors,SP500,NYS
GPC,Genuine Parts Company,SP500,NYS
GILD,Gilead Sciences,SP500,NYS
GPN,Global Payments,SP500,NYS
GL,Globe Life,SP500,NYS
GDDY,GoDaddy,SP500,NYS
GS,Goldman Sachs,SP500,NYS
HAL,Halliburton,SP500,NYS
HIG,Hartford (The),SP500,NYS
HAS,Hasbro,SP500,NYS
HCA,HCA Healthcare,SP500,NYS
DOC,Healthpeak Properties,SP500,NYS
HSIC,Henry Schein,SP500,NYS
HSY,Hershey Company (The),SP500,NYS
HPE,Hewlett Packard Enterprise,SP500,NYS
HLT,Hilton Worldwide,SP500,NYS
HOLX,Hologic,SP500,NYS
HD,Home Depot (The),SP500,NYS
HON,Honeywell,SP500,NYS
HRL,Hormel Foods,SP500,NYS
HST,Host Hotels & Resorts,SP500,NYS
HWM,Howmet Aerospace,SP500,NYS
HPQ,HP Inc.,SP500,NYS
HUBB,Hubbell Incorporated,SP500,NYS
HUM,Humana,SP500,NYS
HBAN,Huntington Bancshares,SP500,NYS
HII,Huntington Ingalls Industries,SP500,NYS
IBM,IBM,SP500,NYS
IEX,IDEX Corporation,SP500,NYS
IDXX,Idexx Laboratories,SP500,NYS
ITW,Illinois Tool Works,SP500,NYS
INCY,Incyte,SP500,NYS
