code,name,market,sector_name,sector_code,industry_name,industry_code
141080,리가켐바이오,KOSDAQ GLOBAL,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
196170,알테오젠,KOSDAQ GLOBAL,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
