code,name,market,sector_name,sector_code,industry_name,industry_code
137400,피엔티,KOSDAQ GLOBAL,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
183300,코미코,KOSDAQ GLOBAL,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
222080,씨아이에스,KOSDAQ GLOBAL,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
240810,원익IPS,KOSDAQ GLOBAL,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
319660,피에스케이,KOSDAQ GLOBAL,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
348210,넥스틴,KOSDAQ GLOBAL,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
403870,HPSP,KOSDAQ GLOBAL,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
