code,name,market,sector_name,sector_code,industry_name,industry_code
108490,로보티즈,KOSDAQ,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
161580,필옵틱스,KOSDAQ,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
171090,선익시스템,KOSDAQ,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
232140,와이씨,KOSDAQ,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
277810,레인보우로보틱스,KOSDAQ,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
323280,태성,KOSDAQ,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
348340,뉴로메카,KOSDAQ,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
388720,유일로보틱스,KOSDAQ,특수 목적용 기계 제조업,03,특수 목적용 기계 제조업,032902
