code,name,market,sector_name,sector_code,industry_name,industry_code
0009K0,에임드바이오,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
115180,큐리언트,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
127120,제이에스링크,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
140410,메지온,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
226950,올릭스,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
310210,보로노이,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
347850,디앤디파마텍,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
358570,지아이이노베이션,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
389470,인벤티지랩,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
397030,에이프릴바이오,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
468530,프로티나,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
476830,알지노믹스,KOSDAQ,자연과학 및 공학 연구개발업,13,자연과학 및 공학 연구개발업,137001
